Matrix,No. of rows,No. of columns,No. of non-zeros,COO,CSR,CSC,LIL,DIA,DOK
ABACUS_shell_ld.mtx,23412,23412,218484,1365.9000396728516,2465.0096893310547,7570.981979370117,72613.00086975098,125941.99180603027,351366.0430908203
Alemdar.mtx,6245,6245,24413,304.93736267089844,201.94053649902344,172.8534698486328,14634.847640991211,124568.93920898438,243489.98069763184
ash85.mtx,85,85,304,150.91896057128906,30.040740966796875,32.901763916015625,350.9521484375,37.90855407714844,971.0788726806641
bcspwr01.mtx,39,39,85,53.16734313964844,32.901763916015625,30.994415283203125,234.84230041503906,36.00120544433594,298.9768981933594
bcspwr02.mtx,49,49,108,53.882598876953125,31.948089599609375,31.948089599609375,254.8694610595703,36.95487976074219,374.07875061035156
dwg961b.mtx,961,961,5776,61.98883056640625,46.01478576660156,46.01478576660156,2945.8999633789062,3741.9795989990234,16412.973403930664
light_in_tissue.mtx,29282,29282,406084,1495.8381652832031,1102.9243469238281,1181.8408966064453,124859.09461975098,1457.21435546875,661936.9983673096
qc324.mtx,324,324,13527,102.996826171875,130.8917999267578,116.10984802246094,9132.146835327148,119.20928955078125,43787.00256347656
